Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,Control_P1,R1,1962020.8,0.040306353,-1.3946265
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,Control_P1,R2,2139435.867,0.042932702,-1.367211782
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,Control_P1,R3,2283566.867,0.045508573,-1.341906779
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,Control_P2,R1,2580496.967,0.048304829,-1.316009451
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,Control_P2,R2,2573501.333,0.048070235,-1.318123756
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,Control_P2,R3,2149133.533,0.041973567,-1.377024126
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,Control_P3,R1,4083333.333,0.076920005,-1.113960697
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,Control_P3,R2,3057409.9,0.056125057,-1.250843207
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,Control_P3,R3,3830000,0.06938573,-1.158729838
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,Control_P4,R1,3863333.333,0.06817094,-1.16640072
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,Control_P4,R2,4243333.333,0.075357892,-1.122871256
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,Control_P4,R3,4630000,0.080405048,-1.094716686
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,Control_P2,R2,2057170.667,0.038425734,-1.41537783
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,Control_P3,R1,1928956.567,0.03633682,-1.439653082
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,Control_P3,R2,1595563.033,0.029289846,-1.533282909
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,Control_P4,R1,2193771.533,0.038710475,-1.412171504
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,Control_P4,R2,2070211.467,0.036765147,-1.434563695
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,Control_P3,R1,1756666.667,0.0330913,-1.48028617
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,Control_P4,R1,1453333.333,0.025644978,-1.590997666
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,Control_P4,R2,1582750.333,0.028108263,-1.551165991
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,Control_P4,R3,1723333.333,0.029927581,-1.523928388
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,Control_P1,R1,2456666.667,0.050468004,-1.296983874
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,Control_P1,R2,1953333.333,0.039198126,-1.406734693
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,Control_P1,R3,2286666.667,0.045570348,-1.341317651
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,Control_P2,R1,2260000,0.042305383,-1.373604364
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,Control_P2,R2,2526666.667,0.047195414,-1.326100202
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,Control_P2,R3,2403333.333,0.046938206,-1.328473517
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,Control_P3,R1,2340000,0.044079872,-1.355759673
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,Control_P3,R2,2830000,0.05195048,-1.284410439
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,Control_P3,R3,2870000,0.051994007,-1.284046715
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,Control_P4,R1,2613333.333,0.046113906,-1.336168093
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,Control_P4,R2,2800000,0.049725554,-1.303420374
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,Control_P4,R3,2513333.333,0.043646801,-1.360047585
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,Control_P1,R1,2770000,0.0569049,-1.244850338
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,Control_P1,R2,2556666.667,0.051305397,-1.289836945
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,Control_P1,R3,2510000,0.050021097,-1.30084679
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,Control_P2,R1,2780000,0.052039365,-1.283668008
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,Control_P2,R2,2013502,0.03761005,-1.424696088
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,Control_P2,R3,2353005.667,0.045955283,-1.337664554
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,Control_P3,R2,2031864.333,0.037299055,-1.428302168
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,Control_P3,R3,2290000,0.041486507,-1.38209313
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,Control_P4,R1,1103479.4,0.019471586,-1.710598671
