Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0815,R1,108851.9867,0.011087684,-1.95515917
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0815,R2,27896.01333,0.002830758,-2.548097282
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0815,R3,37217.582,0.003936283,-2.404913691
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0815,R1,927827.3333,0.094508666,-1.024528367
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0815,R2,970933,0.09852577,-1.006450161
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0815,R3,914485,0.096719656,-1.014485258
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0815,R1,308293.6533,0.031402849,-1.503030945
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0815,R2,335171.3133,0.034011628,-1.468372582
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0815,R3,236945.6153,0.025060333,-1.601013168
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0815,R1,28499.52,0.002902966,-2.537157984
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0815,R2,115527.8,0.011723224,-1.93095292
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0815,R3,101665.9577,0.010752605,-1.968486289
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0815,R1,498043.6667,0.050730821,-1.294728108
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0815,R2,413536.3333,0.041963746,-1.377125751
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0815,R3,346978.291,0.036697836,-1.435359541
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0815,R1,645984.6667,0.065800119,-1.18177332
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0815,R2,611222,0.062023969,-1.207440446
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0815,R3,642500,0.067953415,-1.167788713
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0815,R1,64323.12667,0.006551966,-2.183628383
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0815,R2,117252.4667,0.011898236,-1.924517436
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0815,R3,66680.491,0.0070524,-2.151663055
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0815,R1,26025.78,0.002650991,-2.576591775
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0815,R2,76302.42,0.007742815,-2.111101111
