From,To,Letter,Func
Q88C48,COG0026,F,Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)
Q88MW1,COG0027,F,Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)
Q877U6,COG0028,E H,Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme
Q88N22,COG0028,E H,Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme
Q88GY7,COG0033,G,Phosphoglucomutase/phosphomannomutase
Q88Q44,COG0039,C,Malate/lactate dehydrogenase
Q88FB2,COG0045,C,"Succinyl-CoA synthetase, beta subunit"
Q88DZ0,COG0059,E H,Ketol-acid reductoisomerase
Q88FB3,COG0074,C,"Succinyl-CoA synthetase, alpha subunit"
Q88M06,COG0077,E,Prephenate dehydratase
Q88PA6,COG0114,C,Fumarate hydratase class II
Q88M20,COG0114,C,Fumarate hydratase class II
Q88HG4,COG0119,E,Isopropylmalate/homocitrate/citramalate synthases
Q88M05,COG0128,E,5-enolpyruvylshikimate-3-phosphate synthase
Q88CQ2,COG0129,G E,Dihydroxyacid dehydratase/phosphogluconate dehydratase
Q88QG6,COG0142,H,Geranylgeranyl pyrophosphate synthase
Q88NG9,COG0152,F,Phosphoribosylaminoimidazole-succinocarboxamide synthase
Q88QE6,COG0163,H,Flavin prenyltransferase UbiX
Q88L40,COG0167,F,Dihydroorotate dehydrogenase
Q88QB2,COG0183,I,Acetyl-CoA acetyltransferase
Q88L01,COG0183,I,Acetyl-CoA acetyltransferase
Q88HS3,COG0183,I,Acetyl-CoA acetyltransferase
Q88HK1,COG0183,I,Acetyl-CoA acetyltransferase
Q88GH0,COG0183,I,Acetyl-CoA acetyltransferase
Q88E32,COG0183,I,Acetyl-CoA acetyltransferase
Q88CH8,COG0212,H,5-formyltetrahydrofolate cyclo-ligase
Q88DT2,COG0247,C,"Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF"
Q88Q07,COG0263,E,Glutamate 5-kinase
Q88DT2,COG0277,C,FAD/FMN-containing lactate dehydrogenase/glycolate oxidase
Q88PS4,COG0280,C,"Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase)"
Q88M05,COG0287,E,Prephenate dehydrogenase
Q88MB0,COG0299,F,Folate-dependent phosphoribosylglycinamide formyltransferase PurN
Q88FC3,COG0304,I Q,3-oxoacyl-(acyl-carrier-protein) synthase
Q88EB7,COG0318,I,O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)
Q88EB6,COG0318,I,O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)
Q88QQ1,COG0340,H,Biotin-protein ligase
Q88BW8,COG0356,C,"FoF1-type ATP synthase, membrane subunit a"
Q88P30,COG0363,G,6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase
Q88KS6,COG0365,I,Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase
Q88IC8,COG0365,I,Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase
Q88EH6,COG0365,I,Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase
Q88DW6,COG0365,I,Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase
Q88FA4,COG0372,C,Citrate synthase
Q88FH6,COG0377,C,NADH:ubiquinone oxidoreductase 20 kD subunit (chain B) or related Fe-S oxidoreductase
Q88DY9,COG0440,E,"Acetolactate synthase, small subunit"
Q88DT2,COG0479,C,"Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit"
Q88MF1,COG0496,L,Broad specificity polyphosphatase and 5'/3'-nucleotidase SurE
Q88QX2,COG0502,H,Biotin synthase or related enzyme
Q88F33,COG0503,F,Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein
Q88MG1,COG0504,F,CTP synthase (UTP-ammonia lyase)
Q88QZ6,COG0508,C,"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component"
Q88FB0,COG0508,C,"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component"
Q88P22,COG0516,F,IMP dehydrogenase/GMP reductase
Q88P22,COG0517,T,CBS domain
Q88FS2,COG0538,C,Isocitrate dehydrogenase
Q88P54,COG0549,E,Carbamate kinase
P0A136,COG0563,F,Adenylate kinase or related kinase
Q88FA9,COG0567,C,"2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes"
Q88PU7,COG0579,G,L-2-hydroxyglutarate oxidase LhgO
Q88NF9,COG0579,G,L-2-hydroxyglutarate oxidase LhgO
Q88IS4,COG0579,G,L-2-hydroxyglutarate oxidase LhgO
Q88CJ5,COG0624,E,Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase
Q88FH5,COG0649,C,NADH:ubiquinone oxidoreductase 49 kD subunit (chain D)
Q88BX0,COG0711,C,"FoF1-type ATP synthase, membrane subunit b or b'"
Q88BX1,COG0712,C,"FoF1-type ATP synthase, delta subunit"
Q88FG8,COG0713,C,NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K)
Q88N95,COG0723,C,Rieske Fe-S protein
Q88FC4,COG0764,I,3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratase
Q88RA7,COG0765,E,"ABC-type amino acid transport system, permease component"
P0A126,COG0776,B,"DNA-binding chromatin protein HU or IHF, alpha or beta variants"
Q88MG4,COG0825,I,Acetyl-CoA carboxylase alpha subunit
Q88FH7,COG0838,C,NADH:ubiquinone oxidoreductase subunit 3 (chain A)
Q88RM5,COG0843,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 1"
Q88PN6,COG0843,C,"Heme/copper-type cytochrome/quinol oxidase, subunit 1"
Q88FH5,COG0852,C,NADH:ubiquinone oxidoreductase 27 kD subunit (chain C)
